iter	Passed	Remaining
401	13839	3787
402	13868	3751
403	13896	3714
404	13924	3678
405	13953	3643
406	13981	3607
407	14010	3571
408	14061	3541
409	14090	3505
410	14117	3469
411	14144	3433
412	14168	3396
413	14196	3360
414	14222	3324
415	14250	3288
416	14279	3253
417	14309	3218
418	14341	3183
419	14371	3147
420	14395	3111
421	14420	3075
422	14446	3039
423	14473	3003
424	14498	2967
425	14525	2932
426	14550	2896
427	14576	2860
428	14601	2824
429	14626	2789
430	14652	2753
431	14676	2717
432	14701	2682
433	14726	2646
434	14751	2611
435	14776	2575
436	14801	2540
437	14826	2504
438	14851	2469
439	14878	2434
440	14904	2399
441	14930	2364
442	14962	2330
443	14991	2295
444	15017	2260
445	15043	2226
446	15069	2191
447	15101	2157
448	15126	2122
449	15156	2088
450	15181	2053
451	15211	2019
452	15240	1984
453	15268	1950
454	15294	1916
455	15318	1881
456	15345	1846
457	15369	1812
458	15395	1777
459	15421	1743
460	15448	1709
461	15473	1674
462	15499	1640
463	15524	1605
464	15549	1571
465	15578	1537
466	15604	1503
467	15639	1470
468	15664	1436
469	15694	1402
470	15719	1368
471	15744	1334
472	15770	1300
473	15799	1266
474	15825	1232
475	15857	1199
476	15885	1165
477	15911	1131
478	15939	1098
479	15963	1064
480	15992	1030
481	16018	996
482	16046	963
483	16071	929
484	16097	896
485	16121	862
486	16145	828
487	16171	795
488	16197	761
489	16221	728
490	16247	694
491	16273	661
492	16302	628
493	16329	594
494	16360	561
495	16386	528
496	16411	495
497	16436	462
498	16463	428
499	16487	395
500	16516	362
501	16546	329
502	16573	296
503	16599	263
504	16625	230
505	16650	197
506	16676	164
507	16703	131
508	16728	98
509	16753	65
510	16780	32
511	16806	0
